sr_no,vehicle_type,ticket_rate,govt_tax,total_fare
1,Bicycle,18.00,2.00,20.00
2,Motorcycle (with driver),73.00,7.00,80.00
3,Empty Three-Wheeler Rickshaw / Mini-Door Goods Tempo (with driver),95.00,10.00,105.00
4,Empty Car 5-Seater / Tata Magic (with driver) (Maruti 800),182.00,18.00,200.00
5,Empty Luxury Car 5-Seater (Swift/Creta) / Passenger 08-Seater / Pickup (with driver),205.00,20.00,225.00
6,Empty Medium Goods Heavy Vehicle (driver + assistant) Tata 407,228.00,22.00,250.00
7,Empty Medium Goods Heavy Vehicle with assistant (Tata 709 / Eicher 1095),250.00,25.00,275.00
8,Empty Passenger Bus / Truck / Tanker (driver + 1 assistant),410.00,40.00,450.00
9,Empty Large Goods Truck / JCB (driver + 1 assistant),550.00,50.00,600.00
10,Goods per Half Ton,45.00,5.00,50.00
11,Empty Trolley-size Tractor (with driver),273.00,27.00,300.00
12,Passenger - Adult (12 years and above),27.00,3.00,30.00
13,Passenger - Child (3 to 12 years),13.00,2.00,15.00
14,Fish / Poultry / Fruits (per basket) / Dog / Goat / Sheep (per head),23.00,2.00,25.00
15,Cow / Bull / Buffalo (per head),64.00,6.00,70.00
